datetime,open,high,low,close,volume
1533340800000.0,2.285,2.4,2.1430000000000002,2.177,3273054.088
1533427200000.0,2.177,2.3209999999999997,2.15,2.2769999999999997,3052790.4
1533513600000.0,2.282,2.37,2.155,2.2030000000000003,3138579.128
1533600000000.0,2.205,2.319,2.13,2.134,3412814.4889999996
1533686400000.0,2.135,2.3680000000000003,1.72,1.8259999999999998,5170838.465
1533772800000.0,1.8259999999999998,1.96,1.761,1.889,4370235.751
1533859200000.0,1.889,1.919,1.631,1.6580000000000001,4141740.124
1533945600000.0,1.6580000000000001,1.67,1.3519999999999999,1.445,5236962.204
1534032000000.0,1.436,1.59,1.411,1.4980000000000002,3923849.8010000004
1534118400000.0,1.4969999999999999,1.5190000000000001,1.2429999999999999,1.2590000000000001,4705474.068
1534204800000.0,1.2590000000000001,1.266,1.033,1.207,5276424.763
1534291200000.0,1.208,1.4409999999999998,1.2,1.311,5432332.1729999995
1534377600000.0,1.311,1.7990000000000002,1.266,1.715,7670667.757999999
1534464000000.0,1.723,2.763,1.699,2.688,16095572.915
1534550400000.0,2.688,2.88,1.776,2.116,28459565.474
1534636800000.0,2.114,2.425,1.985,2.359,21519259.566999998
1534723200000.0,2.353,2.7030000000000003,2.089,2.113,28409045.619000003
1534809600000.0,2.114,2.36,2.06,2.261,22048167.14
1534896000000.0,2.262,2.511,1.9380000000000002,2.08,27277255.823000003
1534982400000.0,2.089,2.19,2.009,2.181,18411873.54
1535068800000.0,2.182,2.205,2.073,2.165,12493178.088
1535155200000.0,2.164,2.472,2.119,2.346,15760581.33
1535241600000.0,2.3480000000000003,2.44,2.17,2.385,17009522.269
1535328000000.0,2.385,2.696,2.312,2.6839999999999997,17832746.766
1535414400000.0,2.6839999999999997,2.88,2.56,2.803,16415152.095
1535500800000.0,2.801,2.872,2.46,2.546,17800724.87
1535587200000.0,2.5469999999999997,2.597,2.3,2.505,19268282.898
1535673600000.0,2.5069999999999997,2.549,2.386,2.455,14032923.992999999
1535760000000.0,2.4530000000000003,2.68,2.4530000000000003,2.62,15467902.375999998
1535846400000.0,2.6189999999999998,2.627,2.4,2.505,11956371.213
1535932800000.0,2.505,2.515,2.351,2.417,8608183.617999999
1536019200000.0,2.417,2.512,2.4,2.417,8364386.2870000005
1536105600000.0,2.417,2.447,1.8030000000000002,1.834,14459550.064000001
1536192000000.0,1.8259999999999998,2.113,1.71,2.096,15098494.607
1536278400000.0,2.095,2.16,1.91,1.97,13539143.077
1536364800000.0,1.972,2.086,1.817,1.883,12326761.736
1536451200000.0,1.882,1.9769999999999999,1.7530000000000001,1.8430000000000002,11237384.691
