datetime,open,high,low,close,volume
1577664000000.0,0.5446,0.5729,0.4946,0.5483,17291509.07
1578268800000.0,0.5486,0.6299,0.5295,0.6165,33295463.55
1578873600000.0,0.6165,0.748,0.5828,0.6542,55087972.35
1579478400000.0,0.6545,0.682,0.6095,0.647,20332372.01
1580083200000.0,0.6482,0.81,0.6353,0.7852,43510891.44
1580688000000.0,0.7856,0.9283,0.7486,0.9188,41190236.56
1581292800000.0,0.9184,1.0975,0.8145,0.9013,100238470.18
1581897600000.0,0.9005,0.9426,0.7922,0.8925,56768467.9
1582502400000.0,0.893,0.8963,0.6472,0.6823,58120808.42
1583107200000.0,0.6823,0.7659999999999999,0.601,0.6056,44373200.19
1583712000000.0,0.6061,0.6212,0.2107,0.3471,118526616.144
1584316800000.0,0.34700000000000003,0.4278,0.2767,0.3454,84920928.06
1584921600000.0,0.3449,0.3953,0.3385,0.34700000000000003,39027086.82
1585526400000.0,0.3466,0.4,0.3464,0.3817,35808809.75
1586131200000.0,0.3818,0.469,0.3818,0.4017,59690115.24
1586736000000.0,0.4016,0.4295,0.3679,0.4095,45327989.78
1587340800000.0,0.4092,0.4983,0.3924,0.4932,63980307.53
1587945600000.0,0.4935,0.5367,0.4508,0.4873,77076873.63
1588550400000.0,0.4879,0.5348,0.401,0.4637,78603562.13
1589155200000.0,0.4637,0.4875,0.4224,0.47,58244887.41
1589760000000.0,0.47,0.534,0.4496,0.466,80947066.82
1590364800000.0,0.4663,0.5881,0.4621,0.5483,114880865.88
1590969600000.0,0.5483,0.6346,0.5448,0.5729,88074274.02
1591574400000.0,0.5732,0.6148,0.5628,0.598,45914849.98
1592179200000.0,0.549,0.5948,0.502,0.5548,76531296.67
